PERMNO,date,TICKER,COMNAM,PRC,RET,vwretd,sprtrn
84788,20170630,AMZN,AMAZON COM INC,968.00000,-0.026764,0.009580,0.004814
84788,20170731,AMZN,AMAZON COM INC,987.78003,0.020434,0.020294,0.019349
84788,20170831,AMZN,AMAZON COM INC,980.59998,-0.007269,0.001593,0.000546
84788,20170929,AMZN,AMAZON COM INC,961.34998,-0.019631,0.023758,0.019303
84788,20171031,AMZN,AMAZON COM INC,1105.28003,0.149717,0.019294,0.022188
84788,20171130,AMZN,AMAZON COM INC,1176.75000,0.064662,0.027260,0.028083
84788,20171229,AMZN,AMAZON COM INC,1169.46997,-0.006187,0.012129,0.009832
84788,20180131,AMZN,AMAZON COM INC,1450.89001,0.240639,0.050638,0.056179
84788,20180228,AMZN,AMAZON COM INC,1512.44995,0.042429,-0.039481,-0.038947
84788,20180329,AMZN,AMAZON COM INC,1447.33997,-0.043049,-0.018445,-0.026885
84788,20180430,AMZN,AMAZON COM INC,1566.13000,0.082075,0.004692,0.002719
84788,20180531,AMZN,AMAZON COM INC,1629.62000,0.040539,0.026164,0.021608
84788,20180629,AMZN,AMAZON COM INC,1699.80005,0.043065,0.005365,0.004842
84788,20180731,AMZN,AMAZON COM INC,1777.43994,0.045676,0.031604,0.036022
84788,20180831,AMZN,AMAZON COM INC,2012.70996,0.132365,0.030233,0.030263
84788,20180928,AMZN,AMAZON COM INC,2003.00000,-0.004824,0.000425,0.004294
84788,20181031,AMZN,AMAZON COM INC,1598.01001,-0.202192,-0.074045,-0.069403
84788,20181130,AMZN,AMAZON COM INC,1690.17004,0.057672,0.018512,0.017859
84788,20181231,AMZN,AMAZON COM INC,1501.96997,-0.111350,-0.089890,-0.091777
84788,20190131,AMZN,AMAZON COM INC,1718.72998,0.144317,0.088294,0.078684
84788,20190228,AMZN,AMAZON COM INC,1639.82996,-0.045906,0.032724,0.029729
84788,20190329,AMZN,AMAZON COM INC,1780.75000,0.085936,0.012962,0.017924
84788,20190430,AMZN,AMAZON COM INC,1926.52002,0.081859,0.037893,0.039313
84788,20190531,AMZN,AMAZON COM INC,1775.06995,-0.078613,-0.061679,-0.065778
84788,20190628,AMZN,AMAZON COM INC,1893.63000,0.066792,0.067279,0.068930
84788,20190731,AMZN,AMAZON COM INC,1866.78003,-0.014179,0.011854,0.013128
84788,20190830,AMZN,AMAZON COM INC,1776.29004,-0.048474,-0.020339,-0.018092
84788,20190930,AMZN,AMAZON COM INC,1735.91003,-0.022733,0.016033,0.017181
84788,20191031,AMZN,AMAZON COM INC,1776.66003,0.023475,0.019256,0.020432
84788,20191129,AMZN,AMAZON COM INC,1800.80005,0.013587,0.034997,0.034047
84788,20191231,AMZN,AMAZON COM INC,1847.83997,0.026122,0.028491,0.028590
84788,20200131,AMZN,AMAZON COM INC,2008.71997,0.087064,-0.001728,-0.001628
84788,20200228,AMZN,AMAZON COM INC,1883.75000,-0.062214,-0.077918,-0.084110
84788,20200331,AMZN,AMAZON COM INC,1949.71997,0.035021,-0.141733,-0.125119
84788,20200430,AMZN,AMAZON COM INC,2474.00000,0.268900,0.129674,0.126844
84788,20200529,AMZN,AMAZON COM INC,2442.37012,-0.012785,0.053739,0.045282
84788,20200630,AMZN,AMAZON COM INC,2758.82007,0.129567,0.025299,0.018388
84788,20200731,AMZN,AMAZON COM INC,3164.67993,0.147114,0.055529,0.055101
84788,20200831,AMZN,AMAZON COM INC,3450.95996,0.090461,0.068442,0.070065
84788,20200930,AMZN,AMAZON COM INC,3148.72998,-0.087579,-0.035056,-0.039228
84788,20201030,AMZN,AMAZON COM INC,3036.14990,-0.035754,-0.020178,-0.027666
84788,20201130,AMZN,AMAZON COM INC,3168.04004,0.043440,0.123707,0.107546
84788,20201231,AMZN,AMAZON COM INC,3256.92993,0.028058,0.045048,0.037121
84788,20210129,AMZN,AMAZON COM INC,3206.19995,-0.015576,-0.000631,-0.011137
84788,20210226,AMZN,AMAZON COM INC,3092.92993,-0.035328,0.029196,0.026091
84788,20210331,AMZN,AMAZON COM INC,3094.08008,0.000372,0.030573,0.042439
84788,20210430,AMZN,AMAZON COM INC,3467.41992,0.120663,0.048190,0.052425
84788,20210528,AMZN,AMAZON COM INC,3223.07007,-0.070470,0.007092,0.005487
84788,20210630,AMZN,AMAZON COM INC,3440.15991,0.067355,0.023422,0.022214
84788,20210730,AMZN,AMAZON COM INC,3327.59009,-0.032722,0.011828,0.022748
84788,20210831,AMZN,AMAZON COM INC,3470.79004,0.043034,0.027147,0.028990
84788,20210930,AMZN,AMAZON COM INC,3285.04004,-0.053518,-0.042243,-0.047569
84788,20211029,AMZN,AMAZON COM INC,3372.42993,0.026602,0.064657,0.069144
84788,20211130,AMZN,AMAZON COM INC,3507.07007,0.039924,-0.018347,-0.008334
84788,20211231,AMZN,AMAZON COM INC,3334.34009,-0.049252,0.033345,0.043613
